Species	158458797-stool1	158499257-stool1	158742018-stool1	158802708-stool1	158944319-stool1	159247771-stool1	159146620-stool1	159166850-stool1	159733294-stool1	158337416-stool1	158883629-stool1	159369152-stool1	159591683-stool1	159207311-stool1	159227541-stool1	159268001-stool1	159571453-stool1	763496533-stool1	763678604-stool1	763536994-stool1	763820215-stool1	763577454-stool1	763840445-stool1	763961826-stool1	763860675-stool1	764062976-stool1	763577454-stool2	763901136-stool1	763759525-stool1	764143897-stool1	763982056-stool1	764042746-stool1	764285508-stool1	764487809-stool1	764224817-stool1	763435843-stool1	764002286-stool1	764325968-stool1	764447348-stool1	764508039-stool1	764588959-stool1	764649650-stool1	764669880-stool1	765074482-stool1	159753524-stool1	159915365-stool1	160421117-stool1	159611913-stool1	159490532-stool1	159551223-stool1	159814214-stool1	159510762-stool1	159632143-stool1	160319967-stool1	160502038-stool1	160582958-stool1	160603188-stool1	160158126-stool1	160178356-stool1	160218816-stool1	765094712-stool1	765013792-stool1	765135172-stool1	763961826-stool2	763496533-stool2	765034022-stool1	765560005-stool1	763597684-stool1	765620695-stool1	763678604-stool2	764669880-stool2	764892411-stool1	160643649-stool1	160400887-stool1	160704339-stool1	160765029-stool1	158479027-stool1	158256496-stool1	158337416-stool2	638754422-stool1	158499257-stool2	158924089-stool1	246515023-stool1	158802708-stool2	159005010-stool1	159268001-stool2	159369152-stool2	159247771-stool2	159510762-stool2	159207311-stool2	158944319-stool2	159551223-stool2	159713063-stool1	159571453-stool2	159591683-stool2	159611913-stool2	764811490-stool1	764447348-stool2	550534656-stool1	763759525-stool2	159814214-stool2	604812005-stool1	604812005-stool2	404239096-stool1	765074482-stool2	764224817-stool2	861967750-stool1	764184357-stool1	823052294-stool1	686765762-stool1	765701615-stool1	159227541-stool2	763982056-stool2	763536994-stool2	765640925-stool1	763860675-stool2	764487809-stool2	764143897-stool2	159490532-stool2	706846339-stool1	508703490-stool1	675950834-stool1	338793263-stool1	737052003-stool1	638754422-stool2	764325968-stool2	765094712-stool2	246515023-stool2	763820215-stool2	160158126-stool2	763536994-stool3	809635352-stool1	763901136-stool2	763840445-stool2	764042746-stool2	686765762-stool2	764062976-stool2	159753524-stool2	159227541-stool3
Haemophilus haemolyticus	0	0	0	0	0	0	0	3.92679936318198e-05	0	0	0	0	0	0	6.862169073953e-05	0	0	0	0	0	0	0	4.88991159391475e-05	0	0	0	0	0	0	0	0	0	0.000139939844452933	0	0	0	6.89551564624418e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.79455824793261e-05	0	0	0	0	0	0	0	0	0	0.000223261751978625	0	0	0	0	0	0	0	0	0	0	0.000143918315258588	0	0	3.76657386036598e-05	0	0	8.85011916827115e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67376133424812e-05	0	8.78287266341291e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000144735785102767	8.60421951244104e-05	0	0	0	0	0.000192908949729268	0	0	0	0	0	0	0	0	0	0
Haemophilus influenzae	0	0	0	0.000211155189619333	0	0	0	0.000143982643316673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000302727010449202	0	0	0	0.000284440020407573	0	0	0	9.78691649800985e-05	0	0	5.68681257388802e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000230138795900765	0	0	0	0	0	0	0	0	0	0.000315193061616882	0	0	0	0	0	0	0	0	0	0	0.000197887683480559	0	0	6.27762310060996e-05	0	0	0.000553132448016947	0	0	0	0	0	0	0	0.000110540983038224	0	0	0	0	0.000128219962429775	0	0	0	0.000221187518506509	0	0.00020702485563759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000175057769086514	0	0	0	0.000434207355308301	0.000198558911825562	0	0	0	0	0.000523610006408012	0	0	0	0	0	0	0	0	0	0
Haemophilus parainfluenzae	0.000134693897720638	0.000181966739057821	4.64396460928982e-05	0.000738304858808857	8.16521049702679e-05	8.38882788530578e-05	0	0.000546947054157491	4.52946070492892e-05	6.20573366564741e-05	0.000546265575700215	5.24040886738734e-05	6.53172667372108e-05	0.000160385279867625	0.00046803512145423	0	0	0	0	0	7.00810731628851e-05	7.59413142997433e-05	0.000358593516887081	0.000100526107540467	5.41510071769346e-05	0	0	5.08093963414987e-05	0	9.22056510962609e-05	0.000108044887857936	0	0.0033928272491854	5.37500606519423e-05	3.71847751026211e-05	5.11818772379975e-05	0.00123749879008489	4.90259831905201e-05	4.62709807918745e-05	9.57056942388615e-05	0.000248437111103327	5.08904986250063e-05	0	0.000163495861499281	0	0	0.000162452520776728	0	0.00012515483546108	0.000166076897582679	0	5.64684584932814e-05	0.000183567827111867	5.81881502699295e-05	0	9.82931258931358e-05	0.000700743128543997	0.000151928480837245	0.000107165429492324	0	6.96945393936165e-05	0	0	0	0	0	0.00203374570709941	0.000151633583020514	7.15966811665288e-05	8.60117006243454e-05	0	0	5.65226028886713e-05	9.50085277495584e-05	4.34550665488583e-05	0.000127976307086181	3.56534040720745e-05	0.00118732610088335	0	0.000175084491275941	0.000336094282924964	3.79363732434404e-05	0	0.00127378500886188	0	4.84449913850174e-05	0.000121642833971414	0	0	5.41397568411323e-05	6.69424283719514e-05	0.000374611109185092	4.83579148896092e-05	3.62714096313374e-05	0	0	0.000483572429735151	0	4.05360369711821e-05	3.75471959033327e-05	0.00135926812481217	9.4351928915995e-05	0.000871117574371158	0	4.58995614809889e-05	0	0.00013381151709829	0	0.000153060126631515	7.36936098027893e-05	4.54026440276367e-05	0	0	0.000185698873224447	0	9.08412720791116e-05	5.33195151532424e-05	0	0.000720947972095941	9.61274305577371e-05	7.01370639284643e-05	5.64815751654649e-05	0.00209522279386862	0.00152483061773733	0.000104452722804533	0.000104392882170665	3.56558931519182e-05	0	0.00118894903710692	0.000134695158578711	0	0	9.27745060958649e-05	6.47917922683901e-05	0.000103459490316237	0	0	0.000127773916054039	0.000115967318812353
Haemophilus pittmaniae	0	0	0	5.75877789870909e-05	0	0	0	0	0	0	0	0	0	0	6.862169073953e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000599742190512571	0	0	4.26515643649979e-05	0.000336156387754404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.58919567779666e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000210128707744588	0	0	0	0	0	0	0	0	4.60714705510251e-05	0	0.000242862156998867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00193645011412787	0	0.000150563531372793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000100994866780681	0	0	0	0.000187620462170253	0.000330931519709271	0	6.71097099668564e-05	0	0	0.000165350528339372	0	0	0	0	0	0	0	0	0	0
Helicobacter pylori	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.65505202159436e-05	7.04653596083768e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Holdemania filiformis	0	5.64724362593238e-05	9.57817700666025e-05	0.000102378273754828	5.08057542037223e-05	4.19441394265289e-05	0	0	4.52946070492892e-05	0.000217200678297659	0	0	0	7.85560554453672e-05	0	6.98174571487805e-05	7.5224631496023e-05	0.000192531308732804	0.000328136594063189	0.000500597993347947	0	0	4.88991159391475e-05	6.03156645242803e-05	0.000564524249819544	9.69879435548219e-05	5.0021496635606e-05	0	5.44517438849814e-05	0.000612245523279173	0.000743348828462601	0.000178579484832634	0.000113284635985708	9.07032273501526e-05	0.000107835847797601	4.26515643649979e-05	0.000192089364431088	0	6.16946410558326e-05	0	8.38878556972273e-05	9.16028975250114e-05	0.000150114676937761	2.84340628694401e-05	0.000123117574748403	0	0.000121839390582546	6.02103837893773e-05	0	0	6.57291856442306e-05	0	4.89514205631644e-05	0.000129307000599843	0.000429296652383342	4.91465629465679e-05	4.79455824793261e-05	0	0	0	9.70745370125372e-05	0.00011176296586086	0.000108136973933948	0.000206801920276796	0.00011542470943182	0	0.000137896964457386	0	0.000227677446109562	0	0.000189216604368	0.000201565039712872	0.000103176179876146	5.50049371181654e-05	6.08370931684016e-05	0	0.000114883190898907	0.000134923420554926	5.88574686285605e-05	0	5.27320340451237e-05	5.05818309912538e-05	0	0.000415955600908744	0	8.07416523083623e-05	7.87782162862493e-05	0	0	0	0	0	0.000386863319116874	6.04523493855623e-05	0	9.19086511428335e-05	0	0.000170343381914489	0	0.000106383721726109	3.81357790528464e-05	0	3.76408828431982e-05	0	0	4.81078510625492e-05	0.000109233891508808	3.88526971648488e-05	0	6.44819085774406e-05	0.000163449518499492	0	5.20006829423026e-05	0.000180828083107084	8.4475450248337e-05	7.06543227281979e-05	0	8.39832762895986e-05	0.000121193840136818	9.61274305577371e-05	0.000161315247035468	0.000128495583501433	0.000651311032962451	0	6.96351485363552e-05	0	6.11243882604312e-05	0	0	0.00012525999046571	0	9.19049328776655e-05	0	0.000195815194411134	8.31370904326902e-05	0	6.64512244465602e-05	0	9.79279581082093e-05
Klebsiella variicola/pneumoniae	0	0	0	0	0	0	0	0	0	4.82668173994798e-05	3.90189696928725e-05	0	0	0	0	4.07268500034553e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000648303778347968	0	0	0	0	0	0	0	0	5.54029086367815e-05	0	0	0	0	0	0.00173525050100769	0	0	0	0	0	0	3.93888654022486e-05	0	0.000134659673347539	0	3.75431151470591e-05	0	0	0	0	0	4.76144101272145e-05	0	0.000413931309254662	0	0	0	0	0	4.60714705510251e-05	0	0	0	0	0	0	0	0	0	4.03708261541812e-05	0	0	0	0	9.93993633401703e-05	0	0	0	3.99855924928637e-05	0	0	0	0	0	0	0	0	4.44655260514207e-05	0	0	0	0	0	0	0	0	0	0.00467697326060915	0	0	0	0	0	0	0	6.58951710263757e-05	0	8.27328799273177e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae bacterium 1_4_56FAA	0	0	2.90247788080614e-05	0	0	4.19441394265289e-05	0	0	0	0	0.000289855203432767	0	0	0	0	0	0	0	6.53895386720123e-05	0.000260050905635297	7.88412073082458e-05	8.54339785872112e-05	0	0	4.0613255382701e-05	8.98036514396499e-05	5.0021496635606e-05	0	0.000102235927294251	0.000630686653498425	0	4.61843495256813e-05	0	0	0	7.46402376387463e-05	0	6.53679775873602e-05	3.08473205279163e-05	0	6.99065464143561e-05	0	0.00045935091142955	0	0	0	5.65052246179924e-05	0	3.96832405120498e-05	7.66508758073904e-05	0	0	0	4.65505202159436e-05	0	0	0	0	0	0	0	2.59913874095024e-05	0	0	0	0	0	0	0.000105008465710909	0	0	0	0	8.0007181262786e-05	4.34550665488583e-05	0	0	0	0	0	0	8.34600211355688e-05	0	0	0	0	0	0	9.01746546921079e-05	0	0	0	0	0	5.99783887392955e-05	0	0	6.44155645895127e-05	4.05360369711821e-05	0.000129329230333702	0	0	0	0	0	0	0	0	9.00353686067735e-05	0	0	0	0	8.55770763675501e-05	0	7.94861130692226e-05	0	7.4985068115713e-05	0	0	9.61879733876081e-05	0	0	0	0	4.47398066445709e-05	0	7.83214177156538e-05	0.0002370024239531	0	0	8.77274359286807e-05	0	0	6.98351559634598e-05	0	0	4.79152185202646e-05	0
Lachnospiraceae bacterium 2_1_46FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000546283774705541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae bacterium 3_1_57FAA_CT1	0	0	2.90247788080614e-05	0	0	0.000132823108184008	0	0	0.000107574691742062	0.00780474437349589	0	0	0	0	0	0.000104079727786608	0	0	4.75560281250998e-05	0.000212374906268826	6.57010060902048e-05	0.000113911971449615	0	7.53945806553504e-05	0.000108302014353869	0	7.00300952898484e-05	0	3.11152822199894e-05	0.000383575508560446	0	0	0	0	5.20586851436695e-05	0	5.17163673468314e-05	9.80519663810403e-05	0	0	4.89345824900493e-05	6.78539981666751e-05	0	0	5.54029086367815e-05	0	0	0	0	0	0	0	0	0.000512055722375379	0.000931768870513844	0	0	0	0	4.32834664331374e-05	5.97381766230998e-05	9.81896857692314e-05	4.05513652252306e-05	0	0	0	0	0	0.00387910818560253	5.37573128902159e-05	4.61503913092683e-05	0.000310100061096726	0	0	5.21460798586299e-05	5.75893381887814e-05	0	0	4.12002280399923e-05	6.06061700570564e-05	0	0	0	0	0	0	0	0	0	3.60931712274216e-05	0	0	0	0	3.99855924928637e-05	0	0	0	8.68629363668187e-05	0	0	0	0	0	0	0	5.09758160374437e-05	3.88526971648488e-05	0	0	0	0	0	0	5.27971564052106e-05	0	0	7.34853667533988e-05	0	0	5.61096511427714e-05	9.88427565395635e-05	0.00010185110803528	0	0	5.59247583057136e-05	0	0	0	0	0	5.01299633878175e-05	0	9.07085091757461e-05	0	0	0	0	0
Lactobacillus acidophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	5.89170415840254e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00133755778283896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.95366506078447e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus casei	0	0	2.90247788080614e-05	0	0	0	0	0	0	4.52501413120123e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.44595919345859e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus crispatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000130185110228131	0	0	0	0	0	0	0	0	0	3.84869579380677e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus delbrueckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.83254379036952e-05	0	0	0	0	0	0	0	0	0	8.03835805186838e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus fermentum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000129653865429523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.52857646612301e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus iners	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000216432745754268	0	0	0	0	0	0	0	8.60586076898435e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85686460763287e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus jensenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013832167961739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.29907420461484e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus plantarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.02300230853012e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus reuteri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.81357790528464e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus rhamnosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.17991229619777e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus ruminis	0	0	0	0	0	0	0	0.000270949156059557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00243718079214923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118574736137122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus lactis	0	0	0	0	4.23381285031019e-05	0	0	0	8.60597533936495e-05	4.82668173994798e-05	0	0	0	5.89170415840254e-05	0	0	0	0.000105892219803042	4.75560281250998e-05	0	0	8.80228870292479e-05	0	5.02630537702336e-05	0	8.62115053820639e-05	0	5.08093963414987e-05	0	4.42587125262052e-05	0.000226894264501666	3.59211607421965e-05	0.00110134474985036	5.18304156286586e-05	3.71847751026211e-05	7.31169674828535e-05	0.000258581836734157	4.90259831905201e-05	0	0	0	0	0	0	6.33176098706074e-05	0	0	0	0	0	0	0	0	0	4.8783710498107e-05	0	0	0	5.82932830754947e-05	6.92535462930199e-05	0	5.19827748190049e-05	0	0	0	5.02596507381253e-05	0.000353398281206808	0	6.4437013049876e-05	0.000279538027029122	0	0	0	4.0003590631393e-05	7.24251109147638e-05	0.000207321617479613	0	5.39693682219705e-05	6.18003420599885e-05	0	0	0	0	0	0	0	0	4.65532573396798e-05	9.01746546921079e-05	3.60931712274216e-05	0	0	0	0	0	0	0.000128219962429775	0.000703918975264286	0	5.16273943670825e-05	4.7669723816058e-05	0	0	0	4.58995614809889e-05	0	0	0	5.06448948413101e-05	7.36936098027893e-05	0	0	0	8.37167051421686e-05	7.74358293943089e-05	0	5.71280519499026e-05	0	0	0	0.000130922519333133	6.91899295776945e-05	0	4.41242026279028e-05	0	4.47398066445709e-05	0	0	0	0	0	7.79799430477162e-05	0	0	0	0	4.43008162977068e-05	6.70813059283704e-05	0
Lautropia mirabilis	0	0	0	0	0	0	0	0	0	3.62001130496099e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.76657386036598e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.20006829423026e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leuconostoc lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.64905234018446e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leuconostoc mesenteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001049548833397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megasphaera elsdenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000376972903276752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000351298133803531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megasphaera genomosp. type_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.65505202159436e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megasphaera micronuciformis	0	3.76482908395492e-05	0	0	0	0	0	0	0	0	0	0	0.00105534040971122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.87982654042206e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.59654219828728e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50176843033868e-05	0	0	0	0	3.34866820568674e-05	0	0	0	0	0	0	0	0	4.82452617009223e-05	5.79130159491224e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megasphaera sp. UPII 135-E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.70174050269782e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter smithii	0	0.000372718079311537	0.000194466018014011	0	0.000388301121414163	0	0	0.000337704745233651	0.000240061417361233	0	0	0	0	0	0	0	0	0.000144398481549603	0.00130184626992461	0	0	0	0	0	0.00513757680591167	0.00381485911315633	0	0	0	0	0	0	0	5.64375636845394e-05	0	0	0	0	0	0	0	0.000909243575433446	0	4.42307644635735e-05	0	0	0	0	0	0	0	0	0	0	0	6.55287505954238e-05	0.000105480281454517	0	0	0	0	0	0	0	0.000257541382919749	0	0	0.000191409928711402	0	0.000450217495455558	0	0.000426387584007998	0	6.00053859470895e-05	0	0.000506786176061276	0	0	0	0	0.000154429528275005	0	0	0	0	0	0	0	0	0	0.000111824283757692	0	0	0.000214001316824891	0	0	0	0	0	0	0	0	0	0.000100047433615697	0.000130048757529468	0	0	0.000138759632731603	0	0	0.000158909254096728	0	0	0	0	9.53833356830672e-05	0	0	0	0.000373828896613422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00098347812180909	0	0
